Prodi,Nilai UTBK
Teknik Informatika,718
Teknik Industri,701
Sistem Informasi,692
Teknik Sipil,691
Arsitektur,682
Teknik Mesin,662
Teknik Elektro,653
Statistika,645
Desain Komunikasi Visual,632
Teknik Kimia,630
Perencanaan Wilayah Dan Kota,629
Teknik Lingkungan,628
Teknik Komputer,627
Sains Aktuaria,626
Teknik Biomedik,624
Teknik Perkapalan,621
Teknologi Informasi,620
Teknik Material,617
Desain Interior,614
Teknik Geomatika,611
Teknik Fisika,610
Matematika,608
Teknik Sistem Perkapalan,607
Teknik Kelautan,606
Desain Produk Industri,605
Biologi,603
Kimia,598
Teknik Geofisika,597
Fisika,595
Tek. Sist Perkapalan,576
Teknik Transportasi Laut,575
Teknik Lepas Pantai,0
Teknik Pangan,0
Manajemen Bisnis,657
Studi Pembangunan,599
