Prodi,Nilai UTBK
Administrasi Bisnis,701
Administrasi Pendidikan,602
Administrasi Publik,688
Agribisnis,680
Agribisnis (Psdku Kediri),600
Agrobisnis Perikanan,604
Agroekoteknologi,684
Agroekoteknologi (Psdku Kediri),583
Akuakultur (Psdku Kediri),599
Akuntansi,695
Antropologi,607
Arsitektur,685
Bahasa Dan Sastra Prancis,576
Biologi,617
Bioteknologi,617
Budidaya Perairan,580
Desain Grafis,572
Ekonomi Islam,614
Ekonomi Pembangunan,649
"Ekonomi, Keuangan Dan Perbankan",639
Farmasi,685
Fisika,577
Hubungan Internasional,695
Ilmu Aktuaria,618
Ilmu Gizi,682
Ilmu Hukum,727
Ilmu Kelautan,612
Ilmu Keperawatan,680
Ilmu Komunikasi,715
Ilmu Pemerintahan,644
Ilmu Perpustakaan,607
Ilmu Politik,651
Instrumentasi,596
Kebidanan,650
Kedokteran,730
Kehutanan,613
Kewirausahaan,621
Kimia,616
Manajemen,717
Manajemen Perhotelan,610
Manajemen Sumberdaya Perairan,591
Matematika,637
Pariwisata,672
Pemanfaatan Sumberdaya Perikanan,572
Pendidikan Bahasa Inggris,604
Pendidikan Bahasa Jepang,567
Pendidikan Bhs & Sastra Indonesia,604
Pendidikan Dokter Gigi,673
Pendidikan Dokter Hewan,647
Pendidikan Teknologi Informasi,591
Perencanaan Wilayah & Kota,661
Perpajakan,691
Peternakan,678
Peternakan (Psdku Kediri),583
Psikologi,721
Sastra Cina,598
Sastra Inggris,667
Sastra Jepang,617
Seni Rupa Murni,566
Sistem Informasi,684
Sosial Ekonomi Perikanan (Psdku Kediri),542
Sosiologi,666
Statistika,681
Teknik Elektro,642
Teknik Geofisika,604
Teknik Industri,682
Teknik Industri Pertanian,629
Teknik Informatika,705
Teknik Kimia,618
Teknik Komputer,626
Teknik Lingkungan,648
Teknik Mesin,656
Teknik Pengairan,605
Teknik Pertanian Dan Biosistem,598
Teknik Sipil,683
Teknologi Bioproses,599
Teknologi Hasil Perikanan,597
Teknologi Informasi,646
Teknologi Pangan,658
