PRODI,NILAI UTBK
TEKNOLOGI PENDIDIKAN,600.08
PENDIDIKAN ILMU PENGETAHUAN SOSIAL,599.87
PEND. BAHASA SASTRA INDONESIA & DAERAH,621.25
PENDIDIKAN TEKNIK INFORMATIKA,603.16
PENDIDIKAN BAHASA JERMAN,571.4
PENDIDIKAN MATEMATIKA,632.75
TEKNOLOGI REKAYASA MANUFAKTUR,552.7
TATA BOGA,595.99
BAHASA DAN SASTRA INGGRIS,643.72
PENDIDIKAN SOSIOLOGI,626.31
GEOGRAFI,607.51
TEKNIK ELEKTRO,602.89
PENDIDIKAN GEOGRAFI,592.27
PENDIDIKAN LUAR SEKOLAH,585.01
ILMU SEJARAH,587.84
PENDIDIKAN BAHASA ARAB,613.2
PENDIDIKAN TEKNIK MESIN,568.2
ILMU KEOLAHRAGAAN,575.39
TEKNOLOGI REKAYASA PEMBANGKIT ENERGI,552.73
MANAJEMEN PEMASARAN,599.28
PENDIDIKAN TEKNIK ELEKTRO,566.05
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,615.02
ILMU PERPUSTAKAAN,623.01
ILMU KESEHATAN MASYARAKAT,651.46
BAHASA DAN SASTRA INDONESIA,621.99
PENDIDIKAN KIMIA,585.83
PENDIDIKAN ADMINISTRASI PERKANTORAN,636.91
TEKNOLOGI REKAYASA OTOMOTIF,553.35
MANAJEMEN,654.66
ILMU KOMUNIKASI,658.07
PENDIDIKAN EKONOMI,601.19
BIOLOGI,613.99
MATEMATIKA,607.96
PENDIDIKAN LUAR BIASA,587.52
FISIKA,563.52
PENDIDIKAN SENI TARI DAN MUSIK,559.66
PENDIDIKAN SEJARAH,616.58
PENDIDIKAN TEKNIK BANGUNAN,572.23
FARMASI,659.6
PENDIDIKAN GURU SEKOLAH DASAR,654.09
TEKNIK INFORMATIKA,650.03
DESAIN MODE,559.29
PSIKOLOGI,656.05
BIOTEKNOLOGI,604.14
TEKNIK INDUSTRI,635.65
AKUNTANSI,568.48
PENDIDIKAN TEKNIK OTOMOTIF,573.97
PENDIDIKAN ILMU PENGETAHUAN ALAM,603.31
BIMBINGAN DAN KONSELING,638.43
GIZI,659.15
PENDIDIKAN TATA BOGA,626.11
TEKNIK MESIN,622.28
PENDIDIKAN TATA NIAGA,579.37
PENDIDIKAN BIOLOGI,619.83
TEKNOLOGI REKAYASA SISTEM ELEKTRONIKA,553.02
PENDIDIKAN FISIKA,583.35
PENDIDIKAN BAHASA INGGRIS,630.09
PENDIDIKAN JASMANI KESEHATAN DAN REKREASI,617.52
AKUNTANSI,647.72
PERPUSTAKAAN DIGITAL,558.39
ADMINISTRASI PENDIDIKAN,634.84
KIMIA,589
EKONOMI DAN STUDI PEMBANGUNAN,642.57
PENDIDIKAN SENI RUPA,583.93
PENDIDIKAN BAHASA MANDARIN,568.13
ANIMASI,564.79
PENDIDIKAN KEPELATIHAN OLAHRAGA,588.89
DESAIN KOMUNIKASI VISUAL,637.72
PENDIDIKAN GURU PEND. ANAK USIA DINI,595.51
TEKNOLOGI REKAYASA DAN PEMELIHARAAN BANGUNAN SIPIL,560.3
TEKNIK SIPIL,644.67
PENDIDIKAN AKUNTANSI,585.73
PENDIDIKAN TATA BUSANA,627.48
