Prodi,Nilai UTBK
Administrasi Publik,661
Akuakultur,635
Akuakultur (Sikia Banyuwangi),586
Akuntansi,696
Antropologi,632
Bahasa Dan Sastra Indonesia,632
Bahasa Dan Sastra Inggris,679
Biologi,631
Ekonomi Islam,665
Ekonomi Pembangunan,654
Farmasi,710
Fisika,600
Gizi,694
Ilmu Hubungan Internasional,693
Ilmu Hukum,706
Ilmu Informasi Dan Perpustakaan,641
Ilmu Komunikasi,698
Ilmu Politik,643
Ilmu Sejarah,606
Kebidanan,657
Kedokteran,726
Kedokteran Gigi,696
Kedokteran Hewan,675
Kedokteran Hewan (Sikia Banyuwangi),599
Keperawatan,696
Kesehatan Masyarakat,699
Kesehatan Masyarakat (Sikia Banyuwangi),601
Kimia,616
Manajemen,710
Matematika,630
Psikologi,715
Rekayasa Nanoteknologi,630
Sistem Informasi,675
Sosiologi,650
Statistika,657
Studi Kejepangan,632
Teknik Biomedis,660
Teknik Elektro,629
Teknik Industri,648
Teknik Lingkungan,647
Teknik Robotika Dan Kecerdasan Buatan,635
Teknologi Hasil Perikanan,629
Teknologi Sains Data,654
