Prodi,Nilai UTBK
ADMINISTRASI KEUANGAN,514.23
AGRIBISNIS,657.67
AGRONOMI,537.05
AGROTEKNOLOGI / AGROEKOTEKNOLOGI,642.49
AKUNTANSI,514.43
AKUNTANSI,693.62
BIOLOGI,566.6
EKONOMI PEMBANGUNAN,623.61
EKONOMI SYARIAH,618.55
EKONOMI SYARIAH KAMPUS BONDOWOSO,521.43
FARMASI,713.35
FISIKA,522.67
GIZI,669.01
HUBUNGAN INTERNASIONAL,666.77
ILMU ADMINISTRASI BISNIS,686.26
ILMU ADMINISTRASI NEGARA,664.35
ILMU HUKUM,710.4
ILMU KEPERAWATAN,708.22
ILMU KESEJAHTERAAN SOSIAL,641.23
ILMU PERTANIAN,547.3
ILMU SEJARAH,568.41
ILMU TANAH,540.25
INFORMATIKA,673.56
KEPERAWATAN,626.42
KEPERAWATAN (KAMPUS KOTA PASURUAN),550.11
KESEHATAN MASYARAKAT,706.79
KESEKRETARIATAN,511.07
KIMIA,553.7
MANAJEMEN,709.3
MANAJEMEN PERUSAHAAN,535.18
MATEMATIKA,552.35
PEND. GURU SEKOLAH DASAR KAMPUS BONDOWOSO,589.71
PENDIDIKAN BAHASA INGGRIS,645.75
PENDIDIKAN BHS. & SASTRA INDO.,664.32
PENDIDIKAN BIOLOGI,613.4
PENDIDIKAN DOKTER,718.27
PENDIDIKAN DOKTER GIGI,711.29
PENDIDIKAN EKONOMI,602.78
PENDIDIKAN FISIKA,537.14
PENDIDIKAN GEOGRAFI,588.17
PENDIDIKAN GURU SEKOLAH DASAR,698.21
PENDIDIKAN IPA,594.05
PENDIDIKAN LUAR SEKOLAH,535.64
PENDIDIKAN MATEMATIKA,623.99
PENDIDIKAN SEJARAH,601.93
PENYULUHAN PERTANIAN,518.37
PERENCANAAN WILAYAH DAN KOTA,617.38
PERPAJAKAN,562.28
PETERNAKAN,575.53
PG PAUD,578.49
PROTEKSI TANAMAN,513.03
REKAYASA PERANCANGAN MEKANIK,508.51
SASTRA INDONESIA,607.09
SASTRA INGGRIS,623.13
SISTEM INFORMASI,660.52
SOSIOLOGI,607.37
TEKNIK ELEKTRO,603
TEKNIK KIMIA,532.57
TEKNIK KONSTRUKSI PERKAPALAN,544.44
TEKNIK LINGKUNGAN,611.47
TEKNIK MESIN,633.41
TEKNIK PERMINYAKAN,567.26
TEKNIK PERTAMBANGAN,649.46
TEKNIK PERTANIAN,578.41
TEKNIK SIPIL,672.37
TEKNOLOGI HASIL PERTANIAN,593.29
TEKNOLOGI INDUSTRI PERTANIAN,560
TEKNOLOGI INFORMASI,646.48
TEKNOLOGI REKAYASA ELEKTRONIKA,510.18
TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,510.68
TELEVISI & FILM,613.19
USAHA PERJALANAN WISATA,515.51
