Prodi,Nilai UTBK
AGRIBISNIS,584.4
AGROEKOTEKNOLOGI,550.7
AKUNTANSI,510.57
AKUNTANSI,635.26
EKONOMI PEMBANGUNAN,608.52
EKONOMI SYARIAH,620.33
ENTERPRENEURSHIP,510.51
HUKUM BISNIS SYARIAH,570.41
ILMU HUKUM,639.24
ILMU KELAUTAN,522.06
ILMU KOMUNIKASI,632.56
MANAJEMEN,648.15
MANAJEMEN SUMBERDAYA PERAIRAN,546.75
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,612.34
PENDIDIKAN GURU ANAK USIA DINI,568.97
PENDIDIKAN ILMU PENGETAHUAN ALAM,586.49
PENDIDIKAN INFORMATIKA,569.54
PGSD,646.91
PSIKOLOGI,642.07
SASTRA INGGRIS,575.61
SISTEM INFORMASI,599.52
SOSIOLOGI,608.42
TEKNIK ELEKTRO,525.25
TEKNIK INDUSTRI,614.44
TEKNIK INFORMATIKA,620.55
TEKNIK MEKATRONIKA,517.41
TEKNIK MESIN,533.36
TEKNOLOGI INDUSTRI PERTANIAN,568.45
